rank,country,country_kr,score,tier,region,year,source
1,Norway,노르웨이,91.89,자유,유럽,2024,RSF Press Freedom Index 2024
2,Denmark,덴마크,91.61,자유,유럽,2024,RSF Press Freedom Index 2024
3,Sweden,스웨덴,91.27,자유,유럽,2024,RSF Press Freedom Index 2024
4,Finland,핀란드,90.72,자유,유럽,2024,RSF Press Freedom Index 2024
5,Netherlands,네덜란드,90.36,자유,유럽,2024,RSF Press Freedom Index 2024
176,China,중국,22.97,매우 심각,아시아,2024,RSF Press Freedom Index 2024
177,Vietnam,베트남,22.24,매우 심각,아시아,2024,RSF Press Freedom Index 2024
178,Syria,시리아,18.73,매우 심각,중동,2024,RSF Press Freedom Index 2024
179,North Korea,북한,14.16,매우 심각,아시아,2024,RSF Press Freedom Index 2024
180,Eritrea,에리트레아,12.28,매우 심각,아프리카,2024,RSF Press Freedom Index 2024
62,South Korea,대한민국,72.96,양호,아시아,2024,RSF Press Freedom Index 2024
55,United States,미국,76.96,양호,북미,2024,RSF Press Freedom Index 2024
164,Russia,러시아,30.2,매우 심각,유럽,2024,RSF Press Freedom Index 2024
107,India,인도,56.41,보통,아시아,2024,RSF Press Freedom Index 2024
166,Israel,이스라엘,29.88,매우 심각,중동,2024,RSF Press Freedom Index 2024
