year,country,country_kr,killed,context,note,source
2024,Palestine (Gaza),팔레스타인(가자),18,분쟁,이스라엘군에 의해 16명(가자)·2명(레바논) 사망. 2019년 이후 가장 위험한 지역.,RSF Round-up 2024
2024,Pakistan,파키스탄,7,분쟁·조직범죄,아시아 2위 위험국.,RSF Round-up 2024
2024,Bangladesh,방글라데시,5,시위 탄압,쿼터제 시위 진압 중 기자 5명 사망.,RSF Round-up 2024
2024,Mexico,멕시코,5,조직범죄,조직범죄 관련 취재 중 사망.,RSF Round-up 2024
2024,India,인도,3,지역 정치,,RSF Round-up 2024
2024,Ukraine,우크라이나,3,분쟁,러시아군 드론·공습.,RSF Round-up 2024
2023,Palestine (Gaza),팔레스타인(가자),13,분쟁,전쟁 관련 사망 56명 중 직무 관련 확인 13명.,RSF Round-up 2023
2023,Mexico,멕시코,4,조직범죄,2022년 최고치(11명) 이후 감소.,RSF Round-up 2023
2023,Ukraine,우크라이나,2,분쟁,전쟁 시작 이후 누계 11명.,RSF Round-up 2023
2023,Sudan,수단,2,분쟁,내전 발발(4월) 이후 기자 피해 급증.,RSF Round-up 2023
2025,Palestine (Gaza),팔레스타인(가자),29,분쟁,2025년 12개월간 최소 29명 직무 관련 사망.,RSF Round-up 2025
2025,Mexico,멕시코,9,조직범죄,2025년 세계 2위. 라틴아메리카가 전 세계 기자 사망의 24%.,RSF Round-up 2025
2025,Ukraine,우크라이나,3,분쟁,러시아군 공격. 프랑스 사진기자 Antoni Lallican 드론 공격 사망.,RSF Round-up 2025
2025,Sudan,수단,4,분쟁,예외적으로 치명적인 전쟁 지역으로 부상.,RSF Round-up 2025
