country,country_kr,detained,note,year,source
China,중국,124,홍콩 11명 포함. 세계 1위 기자 감금국.,2024,RSF Round-up 2024
Myanmar,미얀마,61,2021년 군부 쿠데타 이후 급증.,2024,RSF Round-up 2024
Israel,이스라엘,41,가자 전쟁 이후 세계 3위로 급부상. 전년比 +17명.,2024,RSF Round-up 2024
Belarus,벨라루스,40,루카셴코 정권의 언론 탄압.,2024,RSF Round-up 2024
Russia,러시아,38,우크라이나 침공 이후 독립 기자 탄압 급증.,2024,RSF Round-up 2024
Vietnam,베트남,35,동남아 최대 기자 구금국.,2024,RSF Round-up 2024
Iran,이란,30,히잡 시위 이후 기자 구금 증가.,2024,RSF Round-up 2024
Saudi Arabia,사우디아라비아,26,카슈끄지 사건 이후 국제사회 주목.,2024,RSF Round-up 2024
China,중국,121,홍콩 포함. 세계 1위 유지.,2025,RSF Round-up 2025
Russia,러시아,48,2025년 세계 2위로 상승. 외국 기자 26명 포함.,2025,RSF Round-up 2025
Myanmar,미얀마,47,2025년 3위.,2025,RSF Round-up 2025
