date,country,country_kr,name,outlet,incident_type,details,source,source_url
2025-08-25,Palestine (Gaza),팔레스타인(가자),Hossam al-Masri,Reuters,공습 사망,알나세르 의료단지 내 기자 작업실을 겨냥한 이스라엘 공습으로 사망. Reuters 사진기자.,RSF Round-up 2025,https://rsf.org/en/2025-deadly-year-journalists-where-hate-and-impunity-lead
2025-08-25,Palestine (Gaza),팔레스타인(가자),Mariam Abu Dagga,The Independent Arabia / AP,공습 사망,"1차 공습 현장 취재 중 8분 후 2차 공습으로 사망. 다른 기자 2명(Moaz Abu Taha, Mohamad Salama)과 함께.",RSF Round-up 2025,https://rsf.org/en/2025-deadly-year-journalists-where-hate-and-impunity-lead
2025-10-23,Ukraine,우크라이나,Antoni Lallican,프리랜서(프랑스),드론 공격 사망,크라마토르스크 동부에서 러시아군 드론 공격으로 즉사. 2025년 사망한 2명의 외국 기자 중 1명.,RSF Round-up 2025,https://rsf.org/en/2025-deadly-year-journalists-where-hate-and-impunity-lead
2024-07-31,Iraq,이라크,Diyari Hassan Hamad,Kurdistan Media,폭격 사망,터키군의 이라크 쿠르디스탄 지역 공습으로 동료 기자와 함께 사망. 27세.,RSF Round-up 2024,https://rsf.org/en/rsf-s-2024-round-journalism-suffers-exorbitant-human-cost-due-conflicts-and-repressive-regimes
2024-07-18,Bangladesh,방글라데시,Mehedi Hasan,Dhaka Times,시위 진압 중 사망,자트라바리 지역 쿼터제 시위 취재 중 경찰 진압으로 사망.,RSF Round-up 2024,https://rsf.org/en/rsf-s-2024-round-journalism-suffers-exorbitant-human-cost-due-conflicts-and-repressive-regimes
2023-05-09,Ukraine,우크라이나,Arman Soldin,AFP,포격 사망,바흐무트 근처 전투 취재 중 로켓 공격으로 사망. 프랑코-보스니아계 AFP 특파원.,RSF Round-up 2023,https://rsf.org/en/rsf-s-2023-round-45-journalists-killed-line-duty-worldwide-drop-despite-tragedy-gaza
2023-11-07,Mali,말리,Saleck Ag Jiddou / Moustapha Koné,Radio Coton FM,무장단체 납치,가오로 이동 중 무장단체에 납치. 동행 기자 Abdoul Aziz Djibrilla는 총격으로 사망.,RSF Round-up 2023,https://rsf.org/sites/default/files/medias/file/2023/12/Bilan_2023_EN_0.pdf
2022-05-11,Palestine,팔레스타인,Shireen Abu Akleh,Al Jazeera,총격 사망,이스라엘군의 제닌 난민캠프 급습 취재 중 총격으로 사망. 이스라엘군 책임 추후 확인. 국제 언론 자유 상징적 사건.,RSF / 다수 국제 기관,https://rsf.org/en/rsf-s-2024-round-journalism-suffers-exorbitant-human-cost-due-conflicts-and-repressive-regimes
2018-10-02,Saudi Arabia,사우디아라비아,Jamal Khashoggi,Washington Post,암살,이스탄불 사우디 영사관 내 사우디 요원들에게 암살. 국제 언론 자유 사상 최악의 사건 중 하나.,RSF,https://rsf.org
2015-01-07,France,프랑스,12명 (Charlie Hebdo 직원),Charlie Hebdo,테러 공격,파리 샤를리 에브도 편집실에 이슬람 극단주의 무장세력 테러. 편집장·만화가 포함 12명 사망.,RSF,https://rsf.org
